username;location;tweet_text;created_at;retweets;likes;language;Foreigner
jannikkel6;Berlin;bei Abrissarbeiten an in gefunden ber updayDE gesendet;08.01.25 11:17;0;0;de;NO
JKasek;Leipzig;Die Debatte zum Verbot von gibt es in auch schon ein bisschen Der Stand zur Umsetzung seitens der Stadt ist hier nachlesbar;06.01.25 13:54;0;0;de;NO
Joffrey77855104;Next to them `ol barn;Letztes Jahr deutete sich schon an da das Imperium in Neuklln gewinnt Dieses Jahr hat das Imperium gewonnen;03.01.25 17:20;1;12;de;NO
johannesl98;Leipzig;Nicht die sind schuld dass sich in Berlin wieder einige Zuzgler nicht benehmen konnten Und wohlgemerkt hab ich wie jedes Jahr nicht einen Cent an verschwendet Aber ein Verbot weil sich bekannte Personengruppen nicht benehmen knnen;03.01.25 12:57;0;0;de;NO
Juergen_Fritz;Hamburg;jreichelt 1453 registrierte die Polizei in 670 Verdchtige wurden gefasst Knapp 40 sind 60 haben auch einen dt Pass Von diesen 60 Deutschen haben laut 23 ebenfalls einen;09.01.25 07:31;2;7;de;NO
Ka_Meier;no_location;Neujahrsempfang bei d Was hngen bleibt der MP hatte am Bu u Bettag Besuch von einem freiberuflichen Vertreter d SachsenEnergie u d OB htte es eigentlich gut gefunden wenn d explodiert wre weil dann d schneller weg wre;09.01.25 19:31;1;4;de;NO
kainsider;Karlsruhe;Ein Silvester wie das vergangene braucht niemand mehr;09.01.25 14:55;0;0;de;NO
KaiserfrontFan;Hamburg;berlinerzeitung GdPHauptstadt Ich glaube nicht das die das Problem sind Das Problem ist ein Anderes und ein gewisser hat auch bereits eine Lsung angeboten die von einigen Leuten aus der bernommen wurde;03.01.25 20:06;1;5;de;NO
KaleuDer;no_location;nikschrader So vorhersehbar Das Skandal sind natrlich nicht die Idioten die an in einen Kriegsgebiet verwandeln sondern wie immer bei Linken die Polizei polizeiberlin;09.01.25 08:54;0;2;de;NO
KappaAlphaPhi;no_location;What really happened on at Port were fired Children were crying;09.01.25 15:56;0;0;en;NO
KathaCMueller;#wirsindmehr #fckafd;Ebolavirus kann die Haut durchdringen via WEBDENews rkide;09.01.25 12:36;0;0;de;NO
KEPodcast;no_location;In unserer neuen Episode geht es um das Thema und hrt doch mal rein;04.01.25 15:54;0;0;de;NO
KH82865104;Deutschland ;Mir stellt sich die Frage warum diese in oder verkauft werden drfen Diese Lnder gehren auch zur Machtwort zum Thema Bllerverbot Scholz findet es irgendwie komisch via WEBDENews;04.01.25 14:17;1;3;de;NO
